step,task_id,stress,action,latency,outcome,base_utilities,modulated_utilities
10,11,0.2536973606652394,MONITOR,4.696846008300781e-05,0.9492605278669521,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.6625050633964447, 'ASSIST': 0.7687474683017776}","{'MONITOR': 0.704202172498162, 'ESCALATE': 0.512101086249081, 'REDISTRIBUTE': 0.12301049464184988, 'ASSIST': -0.09444384170557407}"
11,12,0.21384964038803836,MONITOR,4.9114227294921875e-05,0.9572300719223923,"{'MONITOR': 0.88, 'ESCALATE': 0.6799999999999999, 'REDISTRIBUTE': 0.7078319983048869, 'ASSIST': 0.7460840008475567}","{'MONITOR': 0.6196250163425231, 'ESCALATE': 0.5498125081712615, 'REDISTRIBUTE': 0.05689453916119458, 'ASSIST': -0.295415933782351}"
12,13,0.2025657347497508,MONITOR,5.316734313964844e-05,0.9594868530500499,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.7776703214609609, 'ASSIST': 0.7111648392695196}","{'MONITOR': 0.6459330089350126, 'ESCALATE': 0.48296650446750633, 'REDISTRIBUTE': 0.09250284379849272, 'ASSIST': -0.38510312499042954}"
13,14,0.19908054527024313,MONITOR,5.507469177246094e-05,0.9601838909459514,"{'MONITOR': 0.88, 'ESCALATE': 0.6799999999999999, 'REDISTRIBUTE': 0.7414051996016153, 'ASSIST': 0.7292974001991923}","{'MONITOR': 0.6015898213635302, 'ESCALATE': 0.5407949106817651, 'REDISTRIBUTE': 0.04537975301044095, 'ASSIST': -0.3843433143466868}"
14,15,0.19088904126409764,MONITOR,5.793571472167969e-05,0.9618221917471804,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.6299160163437801, 'ASSIST': 0.78504199182811}","{'MONITOR': 0.6711512520746108, 'ESCALATE': 0.41557562603730547, 'REDISTRIBUTE': -0.0922058534696929, 'ASSIST': -0.37035299987344694}"
15,16,0.2140717111734629,MONITOR,6.508827209472656e-05,0.9571856577653074,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.6203313270274161, 'ASSIST': 0.789834336486292}","{'MONITOR': 0.6998891010305633, 'ESCALATE': 0.42994455051528174, 'REDISTRIBUTE': -0.029945920396175385, 'ASSIST': -0.2506092593914545}"
16,17,0.21616730793579658,MONITOR,6.413459777832031e-05,0.9567665384128407,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.7563575984868607, 'ASSIST': 0.7218212007565696}","{'MONITOR': 0.6623714174072257, 'ESCALATE': 0.4911857087036129, 'REDISTRIBUTE': 0.11228614200492526, 'ASSIST': -0.308693129614527}"
17,18,0.3019690448828031,MONITOR,7.009506225585938e-05,0.9396061910234393,"{'MONITOR': 0.88, 'ESCALATE': 0.6799999999999999, 'REDISTRIBUTE': 0.7469670404482922, 'ASSIST': 0.726516479775854}","{'MONITOR': 0.7124122123297643, 'ESCALATE': 0.596206106164882, 'REDISTRIBUTE': 0.3279975712727029, 'ASSIST': 0.05616532909491101}"
18,19,0.39231986516798945,MONITOR,6.985664367675781e-05,0.9215360269664021,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.7183684942670451, 'ASSIST': 0.7408157528664775}","{'MONITOR': 0.8724857680250451, 'ESCALATE': 0.5162428840125226, 'REDISTRIBUTE': 0.4995829143296579, 'ASSIST': 0.390758824966658}"
19,20,0.5203045407937059,MONITOR,7.295608520507812e-05,0.8959390918412589,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.6783027257233463, 'ASSIST': 0.760848637138327}","{'MONITOR': 0.9762525705917332, 'ESCALATE': 0.5681262852958667, 'REDISTRIBUTE': 0.7189341522026794, 'ASSIST': 0.8258589195052599}"
20,21,0.5650634627835662,MONITOR,7.915496826171875e-05,0.8869873074432868,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.7496277357818635, 'ASSIST': 0.7251861321090683}","{'MONITOR': 0.9723475838720695, 'ESCALATE': 0.6461737919360349, 'REDISTRIBUTE': 0.8804966954620375, 'ASSIST': 0.9345764675973468}"
21,22,0.6166724462203313,MONITOR,8.296966552734375e-05,0.8766655107559337,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.6761375361868317, 'ASSIST': 0.7619312319065842}","{'MONITOR': 1.0550896292261036, 'ESCALATE': 0.6075448146130519, 'REDISTRIBUTE': 0.913861609252091, 'ASSIST': 1.142289748810999}"
22,23,0.6228424957235329,MONITOR,8.082389831542969e-05,0.8754315008552934,"{'MONITOR': 0.9199999999999999, 'ESCALATE': 0.62, 'REDISTRIBUTE': 0.6744539884355656, 'ASSIST': 0.7627730057822173}","{'MONITOR': 1.020326157508692, 'ESCALATE': 0.670163078754346, 'REDISTRIBUTE': 0.9252693822072955, 'ASSIST': 1.164077635816985}"
23,24,0.5786054208606234,MONITOR,8.392333984375e-05,0.8842789158278753,"{'MONITOR': 0.96, 'ESCALATE': 0.56, 'REDISTRIBUTE': 0.7765712142334789, 'ASSIST': 0.7117143928832605}","{'MONITOR': 1.023410224813621, 'ESCALATE': 0.5917051124068106, 'REDISTRIBUTE': 0.9350967762675314, 'ASSIST': 0.9653552921377446}"
